dateEQ: 2008-01-28T03:44:01,
magnitude: 0,
Epicenter Lat: 35.299,
Epicenter Long: 36.235,
Depth: 0
AA, KFR, BLN, 31.65, 35.115, 417.886076349, 0
AA, KFR, BLZ, 31.65, 35.115, 417.886076349, 0
AA, KIT, BHE, 33.20682, 35.5686, 240.05737234, 0
AA, KIT, BHN, 33.20682, 35.5686, 240.05737234, 0
AA, KIT, BHZ, 33.20682, 35.5686, 240.05737234, 0
AA, KIT, BLE, 33.20682, 35.5686, 240.05737234, 0
AA, KIT, BLN, 33.20682, 35.5686, 240.05737234, 0
AA, KIT, BLZ, 33.20682, 35.5686, 240.05737234, 0
AA, LAV, BHE, 31.38146, 34.8706, 452.665547552, 0
AA, LAV, BHN, 31.38146, 34.8706, 452.665547552, 0
AA, LAV, BHZ, 31.38146, 34.8706, 452.665547552, 0
AA, LAV, BLE, 31.38146, 34.8706, 452.665547552, 0
AA, LAV, BLN, 31.38146, 34.8706, 452.665547552, 0
AA, LAV, BLZ, 31.38146, 34.8706, 452.665547552, 0
AA, LOD, BHE, 31.96014, 34.90205, 390.424959258, 0
AA, LOD, BHN, 31.96014, 34.90205, 390.424959258, 0
AA, LOD, BHZ, 31.96014, 34.90205, 390.424959258, 0
AA, LOD, BLE, 31.96014, 34.90205, 390.424959258, 0
AA, LOD, BLN, 31.96014, 34.90205, 390.424959258, 0
AA, LOD, BLZ, 31.96014, 34.90205, 390.424959258, 0
AA, MAD, BHE, 31.00326, 34.78449, 495.25477537, 0
AA, MAD, BHN, 31.00326, 34.78449, 495.25477537, 0
AA, MAD, BHZ, 31.00326, 34.78449, 495.25477537, 0
AA, MAD, BLE, 31.00326, 34.78449, 495.25477537, 0
AA, MAD, BLN, 31.00326, 34.78449, 495.25477537, 0
AA, MAD, BLZ, 31.00326, 34.78449, 495.25477537, 0
AA, MAN, BHE, 33.19538, 35.5455, 241.835213468, 0
AA, MAN, BHN, 33.19538, 35.5455, 241.835213468, 0
AA, MAN, BHZ, 33.19538, 35.5455, 241.835213468, 0
AA, MAN, BLE, 33.19538, 35.5455, 241.835213468, 0
AA, MAN, BLN, 33.19538, 35.5455, 241.835213468, 0
AA, MAN, BLZ, 33.19538, 35.5455, 241.835213468, 0
AA, MAS, BHE, 32.68349, 35.59804, 296.024896205, 0
AA, MAS, BHN, 32.68349, 35.59804, 296.024896205, 0
AA, MAS, BHZ, 32.68349, 35.59804, 296.024896205, 0
AA, MAS, BLE, 32.68349, 35.59804, 296.024896205, 0
AA, MAS, BLN, 32.68349, 35.59804, 296.024896205, 0
AA, MAS, BLZ, 32.68349, 35.59804, 296.024896205, 0
AA, MIFC, BHE, 31.048, 35.367, 478.362033012, 0
AA, MIFC, BHN, 31.048, 35.367, 478.362033012, 0
AA, MIFC, BHZ, 31.048, 35.367, 478.362033012, 0
AA, MIFC, BLE, 31.048, 35.367, 478.362033012, 0
AA, MIFC, BLN, 31.048, 35.367, 478.362033012, 0
AA, MIFC, BLZ, 31.048, 35.367, 478.362033012, 0
AA, MIZ, BHE, 31.56933, 35.40012, 420.883212636, 0
AA, MIZ, BHN, 31.56933, 35.40012, 420.883212636, 0
AA, MIZ, BHZ, 31.56933, 35.40012, 420.883212636, 0
AA, MIZ, BLE, 31.56933, 35.40012, 420.883212636, 0
AA, MIZ, BLN, 31.56933, 35.40012, 420.883212636, 0
AA, MIZ, BLZ, 31.56933, 35.40012, 420.883212636, 0
AA, MRM, BHE, 30.59757, 34.76189, 539.272242761, 0
AA, MRM, BHN, 30.59757, 34.76189, 539.272242761, 0
AA, MRM, BHZ, 30.59757, 34.76189, 539.272242761, 0
AA, MRM, BLE, 30.59757, 34.76189, 539.272242761, 0
AA, MRM, BLN, 30.59757, 34.76189, 539.272242761, 0
