dateEQ: 2008-01-04T15:48:38,
magnitude: 3,
Epicenter Lat: 32.0741,
Epicenter Long: 35.4862,
Depth: 5.2036
AA, POR, BLZ, 32.75144, 35.5405, 75.2864536472, 0
AA, RDG, BHE, 32.10414, 34.77757, 66.9785886303, 0
AA, RDG, BHN, 32.10414, 34.77757, 66.9785886303, 0
AA, RDG, BHZ, 32.10414, 34.77757, 66.9785886303, 0
AA, RDG, BLE, 32.10414, 34.77757, 66.9785886303, 0
AA, RDG, BLN, 32.10414, 34.77757, 66.9785886303, 0
AA, RDG, BLZ, 32.10414, 34.77757, 66.9785886303, 0
AA, REH, BHE, 31.87552, 34.81699, 66.9760973101, 0
AA, REH, BHN, 31.87552, 34.81699, 66.9760973101, 0
AA, REH, BHZ, 31.87552, 34.81699, 66.9760973101, 0
AA, REH, BLE, 31.87552, 34.81699, 66.9760973101, 0
AA, REH, BLN, 31.87552, 34.81699, 66.9760973101, 0
AA, REH, BLZ, 31.87552, 34.81699, 66.9760973101, 0
AA, ROD1, BHE, 29.58002, 34.97787, 280.753347451, 0
AA, ROD1, BHN, 29.58002, 34.97787, 280.753347451, 0
AA, ROD1, BHZ, 29.58002, 34.97787, 280.753347451, 0
AA, ROD1, BLE, 29.58002, 34.97787, 280.753347451, 0
AA, ROD1, BLN, 29.58002, 34.97787, 280.753347451, 0
AA, ROD1, BLZ, 29.58002, 34.97787, 280.753347451, 0
AA, ROI, BHE, 32.24821, 35.48796, 19.3077079135, 0
AA, ROI, BHN, 32.24821, 35.48796, 19.3077079135, 0
AA, ROI, BHZ, 32.24821, 35.48796, 19.3077079135, 0
AA, ROI, BLE, 32.24821, 35.48796, 19.3077079135, 0
AA, ROI, BLN, 32.24821, 35.48796, 19.3077079135, 0
AA, ROI, BLZ, 32.24821, 35.48796, 19.3077079135, 0
AA, ROSH, BHE, 32.97043, 35.54647, 99.5605662722, 0
AA, ROSH, BHN, 32.97043, 35.54647, 99.5605662722, 0
AA, ROSH, BHZ, 32.97043, 35.54647, 99.5605662722, 0
AA, ROSH, BLE, 32.97043, 35.54647, 99.5605662722, 0
AA, ROSH, BLN, 32.97043, 35.54647, 99.5605662722, 0
AA, ROSH, BLZ, 32.97043, 35.54647, 99.5605662722, 0
AA, RTM, BHE, 31.06535, 35.19728, 115.163144504, 0
AA, RTM, BHN, 31.06535, 35.19728, 115.163144504, 0
AA, RTM, BHZ, 31.06535, 35.19728, 115.163144504, 0
AA, RTM, BLE, 31.06535, 35.19728, 115.163144504, 0
AA, RTM, BLN, 31.06535, 35.19728, 115.163144504, 0
AA, RTM, BLZ, 31.06535, 35.19728, 115.163144504, 0
AA, SVT, BHE, 30.90679, 34.39781, 165.664187442, 0
AA, SVT, BHN, 30.90679, 34.39781, 165.664187442, 0
AA, SVT, BHZ, 30.90679, 34.39781, 165.664187442, 0
AA, SVT, BLE, 30.90679, 34.39781, 165.664187442, 0
AA, SVT, BLN, 30.90679, 34.39781, 165.664187442, 0
AA, SVT, BLZ, 30.90679, 34.39781, 165.664187442, 0
AA, TMR, BHE, 31.06535, 35.19728, 115.163144504, 0
AA, TMR, BHN, 31.06535, 35.19728, 115.163144504, 0
AA, TMR, BHZ, 31.06535, 35.19728, 115.163144504, 0
AA, TMR, BLE, 31.06535, 35.19728, 115.163144504, 0
AA, TMR, BLN, 31.06535, 35.19728, 115.163144504, 0
AA, TMR, BLZ, 31.06535, 35.19728, 115.163144504, 0
AA, TVR, BHE, 32.79643, 35.53593, 80.2388047051, 0
AA, TVR, BHN, 32.79643, 35.53593, 80.2388047051, 0
AA, TVR, BHZ, 32.79643, 35.53593, 80.2388047051, 0
AA, TVR, BLE, 32.79643, 35.53593, 80.2388047051, 0
AA, TVR, BLN, 32.79643, 35.53593, 80.2388047051, 0
AA, TVR, BLZ, 32.79643, 35.53593, 80.2388047051, 0
AA, YIT, BHE, 31.94663, 35.42334, 15.331839065, 0
AA, YIT, BHN, 31.94663, 35.42334, 15.331839065, 0
AA, YIT, BHZ, 31.94663, 35.42334, 15.331839065, 0
