dateEQ: 2008-02-11T23:46:51,
magnitude: 4.3,
Epicenter Lat: 33.2952,
Epicenter Long: 35.4253,
Depth: 9.5648
AA, NAZ, BHE, 32.69968, 35.27372, 67.5479100659, 0
AA, NAZ, BHN, 32.69968, 35.27372, 67.5479100659, 0
AA, NAZ, BHZ, 32.69968, 35.27372, 67.5479100659, 0
AA, NAZ, BLE, 32.69968, 35.27372, 67.5479100659, 0
AA, NAZ, BLN, 32.69968, 35.27372, 67.5479100659, 0
AA, NAZ, BLZ, 32.69968, 35.27372, 67.5479100659, 0
AA, NET, BHE, 30.991, 35.362, 255.581079733, 0
AA, NET, BHN, 30.991, 35.362, 255.581079733, 0
AA, NET, BHZ, 30.991, 35.362, 255.581079733, 0
AA, NET, BLE, 30.991, 35.362, 255.581079733, 0
AA, NET, BLN, 30.991, 35.362, 255.581079733, 0
AA, NET, BLZ, 30.991, 35.362, 255.581079733, 0
AA, NTY, BHE, 32.31979, 34.88704, 119.342976421, 0
AA, NTY, BHN, 32.31979, 34.88704, 119.342976421, 0
AA, NTY, BHZ, 32.31979, 34.88704, 119.342976421, 0
AA, NTY, BLE, 32.31979, 34.88704, 119.342976421, 0
AA, NTY, BLN, 32.31979, 34.88704, 119.342976421, 0
AA, NTY, BLZ, 32.31979, 34.88704, 119.342976421, 0
AA, P005, BHE, 31.2352, 35.3677, 228.50096033, 0
AA, P005, BHN, 31.2352, 35.3677, 228.50096033, 0
AA, P005, BHZ, 31.2352, 35.3677, 228.50096033, 0
AA, P005, BLE, 31.2352, 35.3677, 228.50096033, 0
AA, P005, BLN, 31.2352, 35.3677, 228.50096033, 0
AA, P005, BLZ, 31.2352, 35.3677, 228.50096033, 0
AA, P088, BHE, 31.32826, 35.40125, 218.130309232, 0
AA, P088, BHN, 31.32826, 35.40125, 218.130309232, 0
AA, P088, BHZ, 31.32826, 35.40125, 218.130309232, 0
AA, P088, BLE, 31.32826, 35.40125, 218.130309232, 0
AA, P088, BLN, 31.32826, 35.40125, 218.130309232, 0
AA, P088, BLZ, 31.32826, 35.40125, 218.130309232, 0
AA, PET, BHE, 32.08946, 34.87435, 143.349056732, 0
AA, PET, BHN, 32.08946, 34.87435, 143.349056732, 0
AA, PET, BHZ, 32.08946, 34.87435, 143.349056732, 0
AA, PET, BLE, 32.08946, 34.87435, 143.349056732, 0
AA, PET, BLN, 32.08946, 34.87435, 143.349056732, 0
AA, PET, BLZ, 32.08946, 34.87435, 143.349056732, 0
AA, POR, BHE, 32.75144, 35.5405, 61.2585448963, 0
AA, POR, BHN, 32.75144, 35.5405, 61.2585448963, 0
AA, POR, BHZ, 32.75144, 35.5405, 61.2585448963, 0
AA, POR, BLE, 32.75144, 35.5405, 61.2585448963, 0
AA, POR, BLN, 32.75144, 35.5405, 61.2585448963, 0
AA, POR, BLZ, 32.75144, 35.5405, 61.2585448963, 0
AA, RDG, BHE, 32.10414, 34.77757, 145.381410528, 0
AA, RDG, BHN, 32.10414, 34.77757, 145.381410528, 0
AA, RDG, BHZ, 32.10414, 34.77757, 145.381410528, 0
AA, RDG, BLE, 32.10414, 34.77757, 145.381410528, 0
AA, RDG, BLN, 32.10414, 34.77757, 145.381410528, 0
AA, RDG, BLZ, 32.10414, 34.77757, 145.381410528, 0
AA, REH, BHE, 31.87552, 34.81699, 167.476471381, 0
AA, REH, BHN, 31.87552, 34.81699, 167.476471381, 0
AA, REH, BHZ, 31.87552, 34.81699, 167.476471381, 0
AA, REH, BLE, 31.87552, 34.81699, 167.476471381, 0
AA, REH, BLN, 31.87552, 34.81699, 167.476471381, 0
AA, REH, BLZ, 31.87552, 34.81699, 167.476471381, 0
AA, ROD1, BHE, 29.58002, 34.97787, 414.117346147, 0
AA, ROD1, BHN, 29.58002, 34.97787, 414.117346147, 0
AA, ROD1, BHZ, 29.58002, 34.97787, 414.117346147, 0
AA, ROD1, BLE, 29.58002, 34.97787, 414.117346147, 0
AA, ROD1, BLN, 29.58002, 34.97787, 414.117346147, 0
AA, ROD1, BLZ, 29.58002, 34.97787, 414.117346147, 0
AA, ROI, BHE, 32.24821, 35.48796, 116.259941687, 0
AA, ROI, BHN, 32.24821, 35.48796, 116.259941687, 0
AA, ROI, BHZ, 32.24821, 35.48796, 116.259941687, 0
