AA.DIM..BLE | 2004-02-11T08:15:44.745000Z - 2004-02-11T08:15:44.815000Z | 200.0 Hz, 15 samples
AA.DIM..BLE | 2004-02-11T08:15:44.845000Z - 2004-02-11T08:15:45.175000Z | 200.0 Hz, 67 samples
AA.DIM..BLE | 2004-02-11T08:15:45.205000Z - 2004-02-11T08:15:45.255000Z | 200.0 Hz, 11 samples
AA.DIM..BLE | 2004-02-11T08:15:45.305000Z - 2004-02-11T08:15:45.315000Z | 200.0 Hz, 3 samples
AA.DIM..BLE | 2004-02-11T08:15:45.350000Z - 2004-02-11T08:15:45.395000Z | 200.0 Hz, 10 samples
AA.DIM..BLE | 2004-02-11T08:15:45.465000Z - 2004-02-11T08:15:45.480000Z | 200.0 Hz, 4 samples
AA.DIM..BLE | 2004-02-11T08:15:45.540000Z - 2004-02-11T08:16:09.965000Z | 200.0 Hz, 4886 samples
AA.DIM..BHZ | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:16:09.990000Z | 200.0 Hz, 5999 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.000000Z - 2004-02-11T08:15:40.065000Z | 200.0 Hz, 14 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.095000Z - 2004-02-11T08:15:40.105000Z | 200.0 Hz, 3 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.165000Z - 2004-02-11T08:15:40.205000Z | 200.0 Hz, 9 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.235000Z - 2004-02-11T08:15:40.335000Z | 200.0 Hz, 21 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.375000Z - 2004-02-11T08:15:40.660000Z | 200.0 Hz, 58 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.690000Z - 2004-02-11T08:15:40.865000Z | 200.0 Hz, 36 samples
AA.DIM..BLZ | 2004-02-11T08:15:40.905000Z - 2004-02-11T08:15:41.285000Z | 200.0 Hz, 77 samples
AA.DIM..BLZ | 2004-02-11T08:15:41.330000Z - 2004-02-11T08:15:41.830000Z | 200.0 Hz, 101 samples
AA.DIM..BLZ | 2004-02-11T08:15:41.865000Z - 2004-02-11T08:15:41.945000Z | 200.0 Hz, 17 samples
AA.DIM..BLZ | 2004-02-11T08:15:41.985000Z - 2004-02-11T08:15:42.535000Z | 200.0 Hz, 111 samples
AA.DIM..BLZ | 2004-02-11T08:15:42.570000Z - 2004-02-11T08:15:42.930000Z | 200.0 Hz, 73 samples
AA.DIM..BLZ | 2004-02-11T08:15:42.970000Z - 2004-02-11T08:15:42.980000Z | 200.0 Hz, 3 samples
AA.DIM..BLZ | 2004-02-11T08:15:43.010000Z - 2004-02-11T08:15:43.150000Z | 200.0 Hz, 29 samples
AA.DIM..BLZ | 2004-02-11T08:15:43.180000Z - 2004-02-11T08:15:43.400000Z | 200.0 Hz, 45 samples
AA.DIM..BLZ | 2004-02-11T08:15:43.480000Z - 2004-02-11T08:15:43.565000Z | 200.0 Hz, 18 samples
AA.DIM..BLZ | 2004-02-11T08:15:43.610000Z - 2004-02-11T08:15:43.935000Z | 200.0 Hz, 66 samples
