Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2
12/24/2012,14:44:39,817,4.2,4.4,4,29.9118,35.0879,8,Arava,F,4,,4
1/6/2013,18:29:26,521,3.2,0,3.3,34.8416,36.7296,6,Syria,EQ,3.3,,3.3
1/22/2013,0:35:43,668,3.9,4.1,3.9,27.9123,32.7969,20,Egypt,EQ,3.9,,3.9
1/22/2013,4:47:45,872,3.4,0,3.3,35.5497,32.1779,10,E.Mediter.Sea,EQ,3.3,,3.3
3/3/2013,11:22:25,111,4,4.2,4,35.94,34.59,2,E.Mediter.Sea,EQ,4,,4
3/8/2013,23:20:13,225,3.2,0,3.1,29.2451,32.7588,5,Suez,EQ,3.1,,3.1
3/25/2013,12:40:43,222,3.5,0,3.4,29.0589,32.2726,31,Egypt,EQ,3.4,,3.4
3/31/2013,1:50:28,887,3.6,0,3.6,35.13,37.38,2,Syria,EQ,3.6,,3.6
3/31/2013,7:29:54,262,3.5,0,3.6,35.11,37.41,2,Palmira,EQ,3.6,,3.6
4/7/2013,15:57:50,384,4.7,4.7,4.8,27.0223,34.2054,1,Red-Sea,EQ,4.8,,4.8
4/11/2013,3:56:08,450,3.9,4.1,3.9,27.984,33.4684,1,Suez,EQ,3.9,,3.9
4/15/2013,9:31:11,614,3.1,0,3,27.567,34.9484,6,Red-Sea,EQ,3,,3
6/1/2013,8:43:46,757,3.1,0,3,31.0472,35.452,10,Dead-Sea-Basin,EQ,3,,3
6/1/2013,11:49:29,287,5,4.9,5,28.4516,33.0066,26,Suez,F,5,,5
6/4/2013,9:02:27,374,3.8,0,3.5,28.0924,34.8958,2,Red-Sea,EQ,3.5,,3.5
6/15/2013,9:51:47,651,3,0,3,29.3409,34.2732,12,Sinai,EQ,3,,3
8/8/2013,8:25:41,152,3.2,0,3.2,34.2063,34.5214,31,E.Mediter.Sea,EQ,3.2,,3.2
8/24/2013,14:33:56,233,3.5,0,3.2,28.1816,34.7956,4,Saudi-Arabia,EQ,3.2,,3.2
9/12/2013,1:20:03,309,3.3,0,3,31.7585,35.5559,15,Dead-Sea-Basin,F,3,,3
10/2/2013,14:07:02,828,3.1,0,3.3,29.1462,32.492,31,Suez,EQ,3.3,,3.3
10/6/2013,8:44:39,717,3.3,0,3.2,27.8871,34.5604,5,Arnona-Dakar-Deep,EQ,3.2,,3.2
10/15/2013,1:15:34,926,3.5,0,3.2,34.7745,33.9184,9,E.Mediter.Sea,EQ,3.2,,3.2
10/17/2013,18:17:53,286,3.5,0,3.6,32.8501,35.5624,2,Hula-Kinneret,F,3.6,,3.6
10/18/2013,23:30:30,297,3,0,3.3,32.8507,35.5665,3,Hula-Kinneret,F,3.3,,3.3
