eventname,date,sta
20120216124644,2012-2-16T12_46_44,IS_MMLI__BHN
20120324120108,2012-3-24T12_01_08,IS_MMA0__BHZ
20120308011553,2012-3-8T1_15_53,IS_MBRI__SHE
20120308011553,2012-3-8T1_15_53,IS_MMA0__BHZ
20120312023131,2012-3-12T2_31_31,IS_OFRI__SHE
20120312023131,2012-3-12T2_31_31,IS_MMC4__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMA1__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMA4__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMA0__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMC1__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMB4__BHZ
20120312023131,2012-3-12T2_31_31,IS_BLGI__SHZ
20120312023131,2012-3-12T2_31_31,IS_HRFI__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMB1__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMC2__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMC3__BHZ
20120312023131,2012-3-12T2_31_31,IS_HNTI__SHZ
20120312023131,2012-3-12T2_31_31,IS_MMB3__BHZ
20120312023131,2012-3-12T2_31_31,IS_MMB2__BHZ
20120312023131,2012-3-12T2_31_31,IS_HNTI__SHE
20120312023131,2012-3-12T2_31_31,IS_HNTI__SHN
20120307140612,2012-3-7T14_06_12,IS_MMA0__BHZ
20120307140612,2012-3-7T14_06_12,IS_KRMI__SHZ
20120307140612,2012-3-7T14_06_12,IS_KRMI__SHN
20120307140612,2012-3-7T14_06_12,IS_KRMI__SHE
20120307140612,2012-3-7T14_06_12,IS_ZFRI__SHZ
20120307140612,2012-3-7T14_06_12,IS_KZIT__BHZ
20120307140612,2012-3-7T14_06_12,IS_MBRI__SHE
20120307140612,2012-3-7T14_06_12,IS_MBRI__SHN
20120307140612,2012-3-7T14_06_12,IS_MBRI__SHZ
20120309205256,2012-3-9T20_52_56,IS_MMA0__BHZ
20120309205256,2012-3-9T20_52_56,IS_MZDA__SHE
20120309205256,2012-3-9T20_52_56,IS_ZFRI__SHZ
20120309205256,2012-3-9T20_52_56,IS_ZFRI__SHN
20120322041704,2012-3-22T4_17_04,IS_MMA0__BHZ
20120307084753,2012-3-7T8_47_53,IS_MBRI__SHE
20120307084753,2012-3-7T8_47_53,IS_ZFRI__SHZ
20120307084753,2012-3-7T8_47_53,IS_MMA0__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC6__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMB4__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMB3__BHZ
20120418090833,2012-4-18T9_08_33,IS_OFRI__SHE
20120418090833,2012-4-18T9_08_33,IS_AMAZ__BHE
20120418090833,2012-4-18T9_08_33,IS_OFRI__SHN
20120418090833,2012-4-18T9_08_33,IS_AMAZ__BHN
20120418090833,2012-4-18T9_08_33,IS_AMAZ__BHZ
20120418090833,2012-4-18T9_08_33,IS_OFRI__SHZ
20120418090833,2012-4-18T9_08_33,IS_MMC1__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC4__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMA3__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMB1__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC3__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC7__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMA0B__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMA1__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC5__BHZ
20120418090833,2012-4-18T9_08_33,IS_MZDA__SHZ
20120418090833,2012-4-18T9_08_33,IS_MZDA__SHN
20120418090833,2012-4-18T9_08_33,IS_MMA0__BHZ
20120418090833,2012-4-18T9_08_33,IS_MZDA__SHE
20120418090833,2012-4-18T9_08_33,IS_SLTI__SHN
20120418090833,2012-4-18T9_08_33,IS_SLTI__SHE
20120418090833,2012-4-18T9_08_33,IS_SLTI__SHZ
20120418090833,2012-4-18T9_08_33,IS_HNTI__SHZ
20120418090833,2012-4-18T9_08_33,IS_MMLI__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMLI__BHE
20120418090833,2012-4-18T9_08_33,IS_HNTI__SHE
20120418090833,2012-4-18T9_08_33,IS_HNTI__SHN
20120418090833,2012-4-18T9_08_33,IS_MMLI__BHN
20120418090833,2012-4-18T9_08_33,IS_ZFRI__SHZ
20120418090833,2012-4-18T9_08_33,IS_KZIT__BHE
20120418090833,2012-4-18T9_08_33,IS_KZIT__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMA4__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMC2__BHZ
20120418090833,2012-4-18T9_08_33,IS_HMDT__SHE
20120418090833,2012-4-18T9_08_33,IS_HMDT__SHN
20120418090833,2012-4-18T9_08_33,IS_MMA2__BHZ
20120418090833,2012-4-18T9_08_33,IS_MMB2__BHZ
20120418090833,2012-4-18T9_08_33,IS_HMDT__SHZ
20120425175250,2012-4-25T17_52_50,IS_MBRI__SHE
20120425175250,2012-4-25T17_52_50,IS_ZFRI__SHZ
20120425175250,2012-4-25T17_52_50,IS_AMAZ__BHZ
20120425175250,2012-4-25T17_52_50,IS_MZDA__SHE
20120425175250,2012-4-25T17_52_50,IS_MZDA__SHN
20120425175250,2012-4-25T17_52_50,IS_MZDA__SHZ
20120425175250,2012-4-25T17_52_50,IS_MBRI__SHZ
20120425181656,2012-4-25T18_16_56,IS_ZFRI__SHZ
20120425181656,2012-4-25T18_16_56,IS_ZFRI__SHN
20120425181656,2012-4-25T18_16_56,IS_ZFRI__SHE
20120425181656,2012-4-25T18_16_56,IS_AMAZ__BHZ
20120425181656,2012-4-25T18_16_56,IS_MZDA__SHE
20120425181656,2012-4-25T18_16_56,IS_BLGI__SHZ
20120425181656,2012-4-25T18_16_56,IS_MZDA__SHN
20120425181656,2012-4-25T18_16_56,IS_BLGI__SHN
20120425181656,2012-4-25T18_16_56,IS_MZDA__SHZ
20120425181656,2012-4-25T18_16_56,IS_HNTI__SHZ
20120509104812,2012-5-9T10_48_12,IS_AMAZ__BHZ
20120517050838,2012-5-17T5_08_38,IS_MBRI__SHE
20120517050838,2012-5-17T5_08_38,IS_MBRI__SHN
20120517050838,2012-5-17T5_08_38,IS_MBRI__SHZ
20120517050838,2012-5-17T5_08_38,IS_OFRI__SHE
20120517050838,2012-5-17T5_08_38,IS_KZIT__BHN
20120517050838,2012-5-17T5_08_38,IS_ZFRI__SHZ
20120517050838,2012-5-17T5_08_38,IS_KZIT__BHE
20120517050838,2012-5-17T5_08_38,IS_ZFRI__SHN
20120517050838,2012-5-17T5_08_38,IS_KZIT__BHZ
20120517050838,2012-5-17T5_08_38,IS_ZFRI__SHE
20120517050838,2012-5-17T5_08_38,IS_AMAZ__BHZ
20120517050838,2012-5-17T5_08_38,IS_OFRI__SHZ
